[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.032932s ]
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.081833s ]
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.029280s ]
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.029457s ]
[ 2012-08-26T09:43:39+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.564036s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.564206s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.034322s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.028127s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.047500s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.025199s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.135598s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.013004s ]
[ 2012-08-26T09:43:40+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.013151s ]
[ 2012-08-26T09:44:42+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
