[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.017447s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.150031s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.036885s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.037036s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.380536s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.380676s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.042718s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.008106s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.029612s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002156s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.082954s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002078s ]
[ 2012-09-13T08:37:38+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002210s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000649s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000770s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000483s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000585s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007811s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007930s ]
[ 2012-09-13T08:37:39+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
