[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006322s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.033556s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002046s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002182s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.081762s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081892s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001250s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.002226s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001011s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001279s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006060s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001236s ]
[ 2012-09-14T14:08:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001337s ]
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.037344s ]
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.037501s ]
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000877s ]
[ 2012-09-14T14:08:17+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000981s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.178903s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.000844s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --START--
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run CheckRoute Behavior [ RunTime:0.000865s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000991s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000788s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000915s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.006052s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) LIMIT 1   [ RunTime:0.000707s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.039083s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'SYSU_wangbq' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.000484s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.006122s ]
[ 2012-09-14T14:08:18+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'SYSU_wangbq' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'enterprise' ) LIMIT 1   [ RunTime:0.000396s ]
