[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003851s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.022606s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003710s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003851s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.089707s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.089842s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.020006s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001698s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001180s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001478s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.024673s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001494s ]
[ 2012-09-08T09:25:33+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001593s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000715s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000847s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001069s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001193s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.044878s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045002s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000560s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000608s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000341s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000657s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002458s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000533s ]
[ 2012-09-08T09:32:17+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000633s ]
[ 2012-09-08T09:32:56+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-08T09:32:56+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000962s ]
[ 2012-09-08T09:32:56+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001097s ]
