[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003330s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.020680s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005841s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006190s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.042181s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042330s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001952s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.002567s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001777s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002125s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008722s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001997s ]
[ 2012-08-23T08:47:37+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002101s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001873s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002084s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001756s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001884s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010571s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010694s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000938s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001005s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001098s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001789s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005197s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001198s ]
[ 2012-08-23T08:48:48+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001354s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001038s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001231s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001408s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001519s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009906s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010024s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000853s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000943s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.009964s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001116s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013181s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000943s ]
[ 2012-08-23T08:50:22+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001046s ]
