[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000716s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000844s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000511s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000614s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010257s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010381s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000486s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000581s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000325s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000615s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002274s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000521s ]
[ 2012-08-22T11:07:19+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000613s ]
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000805s ]
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000541s ]
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000649s ]
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T11:07:34+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010235s ]
