[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.041603s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.056199s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002319s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002469s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.080295s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.080828s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.016930s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.003671s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.022777s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001853s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.045608s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002260s ]
[ 2012-09-15T13:16:35+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002440s ]
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.031273s ]
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.031410s ]
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000876s ]
[ 2012-09-15T13:16:47+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000979s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:1.334801s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.020809s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --START--
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run CheckRoute Behavior [ RunTime:0.000852s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000975s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000636s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000731s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.005733s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) LIMIT 1   [ RunTime:0.001460s ]
[ 2012-09-15T13:16:50+08:00 ] /talent_pool/index.php/Teacher/teacher.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-09-15T13:16:51+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.080625s ]
[ 2012-09-15T13:16:51+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'SYSU_wangbq' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.000511s ]
[ 2012-09-15T13:16:51+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.005484s ]
