[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.021530s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.084802s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013703s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.014050s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.073699s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.074025s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.013352s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.003199s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002412s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.007355s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.027213s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.028129s ]
[ 2012-10-10T18:56:04+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.028536s ]
[ 2012-10-10T18:56:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-10-10T18:56:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.039336s ]
[ 2012-10-10T18:56:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.040019s ]
