[ 2012-10-11T10:23:18+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.046647s ]
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.350485s ]
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.052819s ]
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.053208s ]
[ 2012-10-11T10:23:19+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.543932s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.544256s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.037129s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.045344s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.047566s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010724s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.141906s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.044125s ]
[ 2012-10-11T10:23:20+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.044463s ]
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.042532s ]
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.042882s ]
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003685s ]
[ 2012-10-11T10:23:38+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003971s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:1.073694s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.001873s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --START--
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run CheckRoute Behavior [ RunTime:0.002695s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003067s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --START--
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001822s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002090s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined variable: model EnterpriseAction.class.php 第 5 行.
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:0.015532s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) LIMIT 1   [ RunTime:0.001888s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.181789s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.002245s ]
[ 2012-10-11T10:23:40+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.015214s ]
