[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002874s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.035453s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.008527s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.008653s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.072396s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.072517s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001956s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001801s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001114s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001249s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006441s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001826s ]
[ 2012-08-25T11:44:37+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001950s ]
[ 2012-08-25T12:42:03+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.051114s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.051321s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001586s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001709s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.039385s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039510s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001995s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001150s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001070s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001314s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005813s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001617s ]
[ 2012-08-25T12:42:04+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001780s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000855s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000979s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000642s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000744s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.005392s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq00' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.000461s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ route_check ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run CheckRoute Behavior [ RunTime:0.000872s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000677s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000778s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: usertype CommonUserAction.class.php 第 6 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: id_name CommonUserAction.class.php 第 8 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined index: userid CommonUserAction.class.php 第 9 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: userid CommonUserAction.class.php 第 9 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: username CommonUserAction.class.php 第 12 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: usertype TeacherAction.class.php 第 6 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | NOTIC: [8] Undefined variable: username TeacherAction.class.php 第 7 行.
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_template ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000976s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001085s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_parse ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run ParseTemplate Behavior [ RunTime:0.061529s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061654s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_filter ] --START--
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run ContentReplace Behavior [ RunTime:0.000537s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run TokenBuild Behavior [ RunTime:0.000548s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000333s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000605s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002296s ]
[ 2012-08-25T12:43:54+08:00 ] /talent_pool/index.php/Teacher/teacher/.html | INFO: Tag[ view_end ] --START--
