[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006375s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.022684s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002271s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002416s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.088364s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.088487s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001468s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001438s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001498s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001627s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006323s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002806s ]
[ 2012-09-12T15:11:58+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002929s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.026719s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.026862s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001306s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001410s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.225245s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.001241s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run CheckRoute Behavior [ RunTime:0.001372s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001508s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001105s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001211s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.006009s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) LIMIT 1   [ RunTime:0.000607s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_template ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002534s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002660s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_parse ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ParseTemplate Behavior [ RunTime:0.026379s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026501s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_filter ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ContentReplace Behavior [ RunTime:0.000947s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run TokenBuild Behavior [ RunTime:0.000905s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000700s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001001s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003892s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_end ] --START--
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001019s ]
[ 2012-09-12T15:12:04+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001126s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ route_check ] --START--
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Run CheckRoute Behavior [ RunTime:0.001290s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ route_check ] --END-- [ RunTime:0.001418s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ app_begin ] --START--
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001074s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001172s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.005956s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq' ) LIMIT 1   [ RunTime:0.027856s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | SQL: SHOW COLUMNS FROM `university` [ RunTime:0.005450s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | SQL: SELECT * FROM `university` WHERE ( `uid` = 'SYSU' ) LIMIT 1   [ RunTime:0.000738s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ view_template ] --START--
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Run LocationTemplate Behavior [ RunTime:0.001570s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ view_template ] --END-- [ RunTime:0.001691s ]
[ 2012-09-12T15:12:09+08:00 ] /talent_pool/index.php/Teacher/profile | INFO: Tag[ view_parse ] --START--
