[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.021707s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.077232s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.008293s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.008624s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.162272s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.162641s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.013225s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.002508s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001995s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.011945s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.030551s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.019027s ]
[ 2012-10-05T12:49:21+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.019500s ]
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.034941s ]
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.035364s ]
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002633s ]
[ 2012-10-05T12:59:14+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002947s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `company` [ RunTime:0.172257s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `company` WHERE ( `cid` = 'COM_boc' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.013528s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ route_check ] --START--
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run CheckRoute Behavior [ RunTime:0.003181s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003525s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ app_begin ] --START--
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001913s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002292s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | NOTIC: [2048] Declaration of CompanyAction::mailbox() should be compatible with that of CommonUserAction::mailbox() CompanyAction.class.php 第 3 行.
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `company` [ RunTime:0.022272s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT * FROM `company` WHERE ( `cid` = 'COM_boc' ) LIMIT 1   [ RunTime:0.007954s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.074723s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'COM_boc' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.023028s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.013814s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'COM_boc' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'enterprise' ) LIMIT 1   [ RunTime:0.000915s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.012882s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'COM_boc' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'student' ) LIMIT 1   [ RunTime:0.000873s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.012342s ]
[ 2012-10-05T12:59:15+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'COM_boc' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'teacher' ) LIMIT 1   [ RunTime:0.000830s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.267336s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'COM_boc' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'company' ) LIMIT 1   [ RunTime:0.001073s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_template ] --START--
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run LocationTemplate Behavior [ RunTime:0.021078s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.021341s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_parse ] --START--
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ParseTemplate Behavior [ RunTime:0.036237s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036513s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_filter ] --START--
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ContentReplace Behavior [ RunTime:0.001588s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run TokenBuild Behavior [ RunTime:0.001735s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001044s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001636s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006595s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_end ] --START--
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.004189s ]
[ 2012-10-05T12:59:16+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.004421s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ route_check ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run CheckRoute Behavior [ RunTime:0.002806s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003140s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ app_begin ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001796s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002014s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | NOTIC: [2048] Declaration of CompanyAction::mailbox() should be compatible with that of CommonUserAction::mailbox() CompanyAction.class.php 第 3 行.
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SHOW COLUMNS FROM `student` [ RunTime:0.086083s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SELECT * FROM `student` LIMIT 0,30   [ RunTime:0.001876s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SHOW COLUMNS FROM `university` [ RunTime:0.101932s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SELECT * FROM `university` WHERE ( `uid` = 'SYSU' ) LIMIT 1   [ RunTime:0.001906s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SHOW COLUMNS FROM `university` [ RunTime:0.016183s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | SQL: SELECT * FROM `university` WHERE ( `uid` = 'SYSU' ) LIMIT 1   [ RunTime:0.001264s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_template ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003164s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003494s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_parse ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run ParseTemplate Behavior [ RunTime:0.261955s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.262301s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_filter ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run ContentReplace Behavior [ RunTime:0.006230s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run TokenBuild Behavior [ RunTime:0.003991s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001487s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002685s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015735s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_end ] --START--
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.010391s ]
[ 2012-10-05T12:59:26+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.010748s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008307s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008677s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.035823s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.036169s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.044630s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044949s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001981s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.002220s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001382s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002151s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008601s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.008460s ]
[ 2012-10-05T13:02:44+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.008753s ]
[ 2012-10-05T13:02:47+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ route_check ] --START--
[ 2012-10-05T13:02:47+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Run CheckRoute Behavior [ RunTime:0.003174s ]
[ 2012-10-05T13:02:47+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003503s ]
[ 2012-10-05T13:02:47+08:00 ] /talent_pool/index.php/Company/talent_search.html | INFO: Tag[ app_begin ] --START--
