[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002945s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.016186s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | NOTIC: [8] Undefined variable: usertype IndexAction.class.php 第 8 行.
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.010843s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.010969s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028992s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029141s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001960s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001825s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001044s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001421s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006616s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001328s ]
[ 2012-08-24T10:39:08+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001447s ]
[ 2012-08-24T10:39:13+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-08-24T10:39:13+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.023498s ]
[ 2012-08-24T10:39:13+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.023668s ]
