[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.039361s ]
[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.149515s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.036578s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.037028s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.552583s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.552915s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.020262s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.012461s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.023950s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.185426s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.243031s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.024960s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.025518s ]
[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006224s ]
[ 2012-10-12T11:56:11+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006742s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.029204s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.029670s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.557055s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.557428s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.020067s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.012637s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.024259s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.183402s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.241300s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.025298s ]
[ 2012-10-12T11:56:12+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.025639s ]
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.034114s ]
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.034457s ]
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002424s ]
[ 2012-10-12T11:56:42+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002710s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:0.452373s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.001655s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --START--
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run CheckRoute Behavior [ RunTime:0.002394s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002709s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --START--
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002085s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002355s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined variable: model EnterpriseAction.class.php 第 5 行.
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:0.013711s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) LIMIT 1   [ RunTime:0.002753s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.065492s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.001902s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014127s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'enterprise' ) LIMIT 1   [ RunTime:0.001555s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014360s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'student' ) LIMIT 1   [ RunTime:0.001618s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.013967s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'teacher' ) LIMIT 1   [ RunTime:0.003093s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014554s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'company' ) LIMIT 1   [ RunTime:0.001486s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_template ] --START--
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002458s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002735s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_parse ] --START--
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ParseTemplate Behavior [ RunTime:0.069749s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.070057s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_filter ] --START--
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ContentReplace Behavior [ RunTime:0.001453s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run TokenBuild Behavior [ RunTime:0.001511s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000933s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002096s ]
[ 2012-10-12T11:56:44+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006727s ]
