[ 2012-11-26T14:40:48+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.046107s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.092785s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.043470s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.043820s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.185724s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.186044s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.002814s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.003132s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001802s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.014374s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022675s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.020774s ]
[ 2012-11-26T14:40:49+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.020931s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000760s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000538s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000603s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006068s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006146s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000525s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000556s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000401s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000568s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002216s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000528s ]
[ 2012-11-26T14:41:14+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000587s ]
