[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002308s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.020808s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001754s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001870s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.071441s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.071565s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001727s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001263s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000935s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005371s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001259s ]
[ 2012-09-17T09:57:38+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001353s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.065608s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.065749s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002386s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002500s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `company` [ RunTime:0.006248s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `company` WHERE ( `cid` = 'COM_boc' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.000869s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ route_check ] --START--
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run CheckRoute Behavior [ RunTime:0.002405s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002531s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002057s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002155s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | NOTIC: [2048] Declaration of CompanyAction::mailbox() should be compatible with that of CommonUserAction::mailbox() CompanyAction.class.php 第 3 行.
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `company` [ RunTime:0.005484s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SELECT * FROM `company` WHERE ( `cid` = 'COM_boc' ) LIMIT 1   [ RunTime:0.000640s ]
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-09-17T10:01:32+08:00 ] /talent_pool/index.php/Company/company.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.005351s ]
