[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014183s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.043108s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006163s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006498s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.227092s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.227507s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.003017s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.003320s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.021624s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006926s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.036015s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.007733s ]
[ 2012-09-23T10:47:01+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.008027s ]
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.063248s ]
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.063588s ]
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002238s ]
[ 2012-09-23T10:47:12+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002508s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:0.364470s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.002469s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --START--
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run CheckRoute Behavior [ RunTime:0.002368s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002694s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001722s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001996s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [2048] Declaration of EnterpriseAction::mailbox() should be compatible with that of CommonUserAction::mailbox() EnterpriseAction.class.php 第 2 行.
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined variable: model EnterpriseAction.class.php 第 6 行.
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `enterprise` [ RunTime:0.014879s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT * FROM `enterprise` WHERE ( `eid` = 'ENT_ibm' ) LIMIT 1   [ RunTime:0.001480s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | NOTIC: [8] Undefined index: username CommonUserAction.class.php 第 18 行.
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.057156s ]
[ 2012-09-23T10:47:13+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.001666s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014582s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'enterprise' ) LIMIT 1   [ RunTime:0.001085s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.016396s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'student' ) LIMIT 1   [ RunTime:0.001476s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.015425s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'teacher' ) LIMIT 1   [ RunTime:0.001041s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.017119s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'company' ) LIMIT 1   [ RunTime:0.000975s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_template ] --START--
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003722s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.004010s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_parse ] --START--
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ParseTemplate Behavior [ RunTime:0.067039s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.067565s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_filter ] --START--
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ContentReplace Behavior [ RunTime:0.002510s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run TokenBuild Behavior [ RunTime:0.001891s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002184s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002415s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009926s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_end ] --START--
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.005781s ]
[ 2012-09-23T10:47:14+08:00 ] /talent_pool/index.php/Enterprise/enterprise.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.006066s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ route_check ] --START--
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Run CheckRoute Behavior [ RunTime:0.004592s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ route_check ] --END-- [ RunTime:0.005048s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002309s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002604s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | NOTIC: [2048] Declaration of EnterpriseAction::mailbox() should be compatible with that of CommonUserAction::mailbox() EnterpriseAction.class.php 第 2 行.
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014324s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) LIMIT 1   [ RunTime:0.001092s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014188s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'enterprise' ) LIMIT 1   [ RunTime:0.002034s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014220s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'student' ) LIMIT 1   [ RunTime:0.001015s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.014691s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'teacher' ) LIMIT 1   [ RunTime:0.001473s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SHOW COLUMNS FROM `message` [ RunTime:0.015529s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | SQL: SELECT COUNT(*) AS tp_count FROM `message` WHERE ( `receiver_id` = 'ENT_ibm' ) AND ( `unread` = 1 ) AND ( `sender_type` = 'company' ) LIMIT 1   [ RunTime:0.001672s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ view_template ] --START--
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Run LocationTemplate Behavior [ RunTime:0.002953s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ view_template ] --END-- [ RunTime:0.003233s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ view_parse ] --START--
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Run ParseTemplate Behavior [ RunTime:0.088773s ]
[ 2012-09-23T10:47:20+08:00 ] /talent_pool/index.php/Enterprise/mailbox | INFO: Tag[ view_parse ] --END-- [ RunTime:0.089128s ]
