[ 2012-08-29T12:05:48+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-29T12:05:48+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.105680s ]
[ 2012-08-29T12:05:48+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.167767s ]
[ 2012-08-29T12:05:50+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-08-29T12:05:50+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.247037s ]
[ 2012-08-29T12:05:50+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.250235s ]
[ 2012-08-29T12:05:50+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.951545s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.951918s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.035641s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.102099s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.060527s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.045974s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.244791s ]
[ 2012-08-29T12:05:51+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-08-29T12:05:52+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.063021s ]
[ 2012-08-29T12:05:52+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.063271s ]
[ 2012-08-29T12:05:53+08:00 ] /talent_pool/css/struct.css | ERR: (ThinkException) 无法加载模块css
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.003124s ]
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003336s ]
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002680s ]
[ 2012-08-29T12:06:03+08:00 ] /talent_pool/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002825s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Index/login | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.327643s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Index/login | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq00' ) AND ( `password` = 'e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.061914s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --START--
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run CheckRoute Behavior [ RunTime:0.001834s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002031s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --START--
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001517s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001661s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SHOW COLUMNS FROM `teacher` [ RunTime:0.007258s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | SQL: SELECT * FROM `teacher` WHERE ( `tid` = 'SYSU_wangbq00' ) LIMIT 1   [ RunTime:0.009975s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | NOTIC: [8] Undefined index:  username CommonUserAction.class.php 第 18 行.
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_template ] --START--
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run LocationTemplate Behavior [ RunTime:0.104742s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.104994s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_parse ] --START--
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ParseTemplate Behavior [ RunTime:0.375834s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.376078s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Tag[ view_filter ] --START--
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run ContentReplace Behavior [ RunTime:0.003308s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run TokenBuild Behavior [ RunTime:0.003348s ]
[ 2012-08-29T12:06:08+08:00 ] /talent_pool/index.php/Teacher/teacher.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002760s ]
